endpoint,date,incidents,downtime_min
riksarkivet_kyrkbok_c0005418,2025-06-18,1,2429.08
riksarkivet_kyrkbok_c0005418,2025-06-19,2,2440.46
riksarkivet_kyrkbok_c0005418,2025-06-26,1,16.85
riksarkivet_kyrkbok_c0005418,2025-08-12,1,12.7
riksarkivet_kyrkbok_c0005418,2025-08-15,1,190.43
riksarkivet_kyrkbok_c0005418,2025-08-27,1,13.78
riksarkivet_kyrkbok_c0005418,2025-09-11,1,9.72
riksarkivet_kyrkbok_c0005418,2025-09-26,1,6.88
riksarkivet_kyrkbok_c0005418,2025-10-10,1,25.78
riksarkivet_kyrkbok_c0005418,2025-11-13,1,28.85
riksarkivet_kyrkbok_c0005418,2025-11-18,1,602.98
riksarkivet_kyrkbok_c0005418,2025-11-19,1,602.98
riksarkivet_kyrkbok_c0005418,2025-11-20,1,19.47
riksarkivet_kyrkbok_c0005418,2025-11-25,1,21.35
riksarkivet_kyrkbok_c0005418,2025-12-01,1,8.98
riksarkivet_kyrkbok_c0005418,2025-12-04,1,21.37
riksarkivet_kyrkbok_c0005418,2025-12-05,1,4262.85
riksarkivet_kyrkbok_c0005418,2025-12-06,1,4262.85
riksarkivet_kyrkbok_c0005418,2025-12-07,1,4262.85
riksarkivet_kyrkbok_c0005418,2025-12-08,1,4262.85
riksarkivet_kyrkbok_c0005418,2025-12-09,1,25.52
riksarkivet_kyrkbok_c0005418,2025-12-11,1,46.82
riksarkivet_kyrkbok_c0005418,2025-12-14,1,9.05
riksarkivet_kyrkbok_c0005418,2025-12-15,1,9.67
riksarkivet_kyrkbok_c0005418,2025-12-16,1,29.62
riksarkivet_kyrkbok_c0005418,2025-12-18,1,28.57
riksarkivet_kyrkbok_c0005418,2025-12-20,1,6.87
riksarkivet_nad_se_ula_12231,2023-05-09,3,46.449999999999996
riksarkivet_nad_se_ula_12231,2023-05-11,1,15.62
riksarkivet_nad_se_ula_12231,2023-05-14,1,6.85
riksarkivet_nad_se_ula_12231,2023-06-08,1,8.4
riksarkivet_nad_se_ula_12231,2023-06-13,8,106.0
riksarkivet_nad_se_ula_12231,2023-06-14,9,141.6
riksarkivet_nad_se_ula_12231,2023-06-15,1,22.97
riksarkivet_nad_se_ula_12231,2023-06-19,1,17.6
riksarkivet_nad_se_ula_12231,2023-07-17,1,146.27
riksarkivet_nad_se_ula_12231,2023-07-19,1,136.67
riksarkivet_nad_se_ula_12231,2023-07-29,1,147.92
riksarkivet_nad_se_ula_12231,2023-08-06,1,1167.72
riksarkivet_nad_se_ula_12231,2023-08-07,1,1167.72
riksarkivet_nad_se_ula_12231,2023-08-14,1,8.42
riksarkivet_nad_se_ula_12231,2023-09-28,1,8.4
riksarkivet_nad_se_ula_12231,2023-12-04,1,70.12
riksarkivet_nad_se_ula_12231,2023-12-06,1,7.68
riksarkivet_nad_se_ula_12231,2023-12-12,1,6.73
riksarkivet_nad_se_ula_12231,2024-01-07,1,1737.48
riksarkivet_nad_se_ula_12231,2024-01-08,12,1932.6
riksarkivet_nad_se_ula_12231,2024-01-09,10,229.56
riksarkivet_nad_se_ula_12231,2024-01-15,1,14.0
riksarkivet_nad_se_ula_12231,2024-02-01,1,7.45
riksarkivet_nad_se_ula_12231,2024-02-18,2,31.25
riksarkivet_nad_se_ula_12231,2024-02-29,1,8.52
riksarkivet_nad_se_ula_12231,2024-03-04,1,14.82
riksarkivet_nad_se_ula_12231,2024-04-11,1,7.78
riksarkivet_nad_se_ula_12231,2024-04-13,1,43.13
riksarkivet_nad_se_ula_12231,2024-04-14,1,58.58
riksarkivet_nad_se_ula_12231,2024-04-15,2,57.85
riksarkivet_nad_se_ula_12231,2024-04-16,1,46.5
riksarkivet_nad_se_ula_12231,2024-04-17,1,27.35
riksarkivet_nad_se_ula_12231,2024-04-18,1,26.68
riksarkivet_nad_se_ula_12231,2024-04-19,1,15.45
riksarkivet_nad_se_ula_12231,2024-04-21,1,50.63
riksarkivet_nad_se_ula_12231,2024-04-22,1,32.48
riksarkivet_nad_se_ula_12231,2024-04-23,1,16.85
riksarkivet_nad_se_ula_12231,2024-04-24,1,17.55
riksarkivet_nad_se_ula_12231,2024-04-25,1,20.85
riksarkivet_nad_se_ula_12231,2024-04-26,1,16.65
riksarkivet_nad_se_ula_12231,2024-04-28,1,34.23
riksarkivet_nad_se_ula_12231,2024-05-02,1,27.4
riksarkivet_nad_se_ula_12231,2024-05-05,1,23.82
riksarkivet_nad_se_ula_12231,2024-05-12,1,27.48
riksarkivet_nad_se_ula_12231,2024-05-16,1,6.9
riksarkivet_nad_se_ula_12231,2024-05-19,1,29.58
riksarkivet_nad_se_ula_12231,2024-05-23,1,8.37
riksarkivet_nad_se_ula_12231,2024-05-26,1,26.78
riksarkivet_nad_se_ula_12231,2024-06-02,1,320.3
riksarkivet_nad_se_ula_12231,2024-06-03,1,320.3
riksarkivet_nad_se_ula_12231,2024-07-19,1,76.6
riksarkivet_nad_se_ula_12231,2024-08-24,1,23.7
riksarkivet_nad_se_ula_12231,2024-09-26,1,6.73
riksarkivet_nad_se_ula_12231,2024-11-11,1,6.98
riksarkivet_nad_se_ula_12231,2024-11-18,1,6.77
riksarkivet_nad_se_ula_12231,2024-12-05,1,137.62
riksarkivet_nad_se_ula_12231,2024-12-12,1,11.85
riksarkivet_nad_se_ula_12231,2024-12-22,1,15.32
riksarkivet_nad_se_ula_12231,2024-12-29,1,52.05
riksarkivet_nad_se_ula_12231,2025-01-05,1,59.05
riksarkivet_nad_se_ula_12231,2025-01-12,1,58.17
riksarkivet_nad_se_ula_12231,2025-01-17,2,28.700000000000003
riksarkivet_nad_se_ula_12231,2025-01-19,1,49.57
riksarkivet_nad_se_ula_12231,2025-01-26,1,31.95
riksarkivet_nad_se_ula_12231,2025-02-02,1,39.7
riksarkivet_nad_se_ula_12231,2025-02-07,1,6.77
riksarkivet_nad_se_ula_12231,2025-02-09,1,44.83
